entry_time,exit_time,direction,status,entry_price,exit_price,stop_price,position_oz,position_lots,gross_pnl_usd,cost_usd,net_pnl_usd,account_balance,withdrawal_usd,total_withdrawn
2026-09-20 22:00:00-04:00,2026-09-21 00:00:00-04:00,SHORT,CLOSED,4401.5,4389.6,4389.6,1.0,0.01,11.9,1.0,10.9,1010.9,0.0,0.0
2026-09-21 03:00:00-04:00,2026-09-21 05:00:00-04:00,SHORT,CLOSED,4381.6,4381.6,4389.61,2.0,0.02,0.0,2.0,-2.0,1008.9,0.0,0.0
2026-09-21 20:00:00-04:00,2026-09-21 22:00:00-04:00,LONG,CLOSED,4397.7,4397.7,4389.5,2.0,0.02,0.0,2.0,-2.0,1006.9,0.0,0.0
2026-09-21 22:00:00-04:00,,SHORT,OPEN,4381.8,,4389.35,2.0,0.02,,,,1006.9,0.0,0.0
2026-09-22 13:00:00-04:00,,LONG,OPEN,4388.9,,4385.41,5.0,0.05,,,,1006.9,0.0,0.0
